Age,EmploymentYears,A_mean,C_mean,D_mean,E_mean,Religion_Islam,Education,PatientContact,AgreeSubsequentBooster
0.543859649122807,0.2571428571428571,1.1,1.1428571428571428,1.8,2.2,1,2,1,1
0.6140350877192983,0.3142857142857143,0.8,1.1428571428571428,2.2,2.6,1,3,1,1
0.5789473684210527,0.2571428571428571,2.5,2.7142857142857144,1.9,2.0,1,2,0,0
0.543859649122807,0.1714285714285714,0.0,0.2857142857142857,0.8,2.8,1,3,1,1
0.7543859649122807,0.5428571428571428,0.3,1.1428571428571428,1.9,2.0,1,2,1,1
0.4385964912280701,0.0285714285714285,0.0,0.0,0.0,2.0,1,1,0,1
0.4561403508771929,0.0571428571428571,1.2,1.0,1.0,2.6,1,2,0,1
0.6491228070175439,0.4285714285714285,1.2,0.2857142857142857,2.0,2.0,1,2,1,1
0.7017543859649122,0.4571428571428571,1.1,0.5714285714285714,1.7,2.8,1,2,1,1
0.543859649122807,0.2571428571428571,0.8,0.0,0.9,3.2,1,2,1,1
0.5263157894736842,0.3142857142857143,0.2,1.4285714285714286,1.4,2.2,1,2,1,1
0.5789473684210527,0.2571428571428571,1.5,1.7142857142857142,2.0,2.2,1,2,1,1
1.0,0.9714285714285714,0.9,1.2857142857142858,1.2,2.2,1,2,1,0
0.5614035087719298,0.2571428571428571,2.4,2.142857142857143,1.8,2.2,1,1,1,0
0.4912280701754385,0.1142857142857142,0.9,2.0,2.0,2.0,1,3,1,0
0.4035087719298245,0.0285714285714285,1.3,1.5714285714285714,1.6,2.0,1,1,0,0
0.4210526315789473,0.0285714285714285,1.8,1.5714285714285714,1.0,2.2,1,1,0,0
0.5789473684210527,0.0285714285714285,1.2,1.4285714285714286,2.0,2.0,1,0,1,1
0.6491228070175439,0.0285714285714285,2.0,2.0,2.0,2.0,1,1,0,0
0.4210526315789473,0.0285714285714285,0.0,1.8571428571428572,2.3,2.2,1,2,1,0
0.5087719298245614,0.1428571428571428,1.0,1.0,1.8,2.2,1,3,1,1
0.4561403508771929,0.0285714285714285,0.0,2.0,2.6,2.2,1,2,1,0
0.4035087719298245,0.0285714285714285,0.6,1.0,1.3,2.6,1,2,1,0
0.4736842105263157,0.0285714285714285,1.5,1.4285714285714286,2.3,2.4,1,3,0,0
0.7894736842105263,0.6,1.0,1.5714285714285714,2.4,2.4,1,2,1,1
0.4210526315789473,0.0571428571428571,1.0,1.1428571428571428,1.8,2.2,1,2,1,0
0.8421052631578947,0.6,1.2,1.2857142857142858,1.5,2.6,1,2,1,0
0.7543859649122807,0.5142857142857142,0.3,0.0,1.9,2.6,1,1,1,0
0.7719298245614035,0.5428571428571428,1.4,1.0,2.3,2.2,1,1,1,0
0.5614035087719298,0.2857142857142857,0.0,0.8571428571428571,2.2,2.4,1,2,1,1
0.0,0.3714285714285714,1.0,1.0,1.0,1.8,1,1,1,0
0.5087719298245614,0.0857142857142857,0.0,0.0,0.7,2.4,1,3,1,1
0.7368421052631579,0.4857142857142857,0.0,0.0,1.2,3.2,1,2,1,1
0.0,0.2857142857142857,1.0,1.0,1.4,2.6,1,3,1,1
0.4561403508771929,0.0285714285714285,1.0,1.4285714285714286,1.7,1.8,1,3,1,1
0.7543859649122807,0.0,1.2,1.1428571428571428,2.6,1.8,1,1,1,0
0.0,0.0285714285714285,2.1,2.0,2.1,2.0,1,1,1,1
0.0,0.2571428571428571,1.3,2.0,2.0,2.0,1,3,1,0
0.5263157894736842,0.0428571428571428,0.3,1.2857142857142858,2.1,2.4,0,2,1,1
0.7017543859649122,0.5142857142857142,1.5,2.0,2.0,2.0,1,2,1,0
0.4035087719298245,0.318109668109668,0.8,1.1428571428571428,0.7,2.8,1,2,1,1
0.543859649122807,0.1714285714285714,0.5,0.7142857142857143,2.5,3.0,1,3,1,0
0.0,0.2571428571428571,0.3,1.0,1.6,2.6,1,3,1,1
0.0,0.0857142857142857,0.2,0.0,1.6,3.0,1,3,0,1
0.6666666666666666,0.4,1.1,1.1428571428571428,1.4,2.4,1,3,1,0
0.5964912280701754,0.3428571428571428,1.2,1.7142857142857142,1.6,2.2,1,2,1,0
0.5964912280701754,0.2571428571428571,1.0,1.1428571428571428,1.9,2.4,1,3,1,0
0.4736842105263157,0.0571428571428571,1.0,1.0,2.9,3.0,1,3,0,0
0.4736842105263157,0.0285714285714285,0.7,1.1428571428571428,1.9,3.0,1,4,1,1
0.4210526315789473,0.0571428571428571,1.7,2.0,2.0,2.0,1,2,1,0
0.1578947368421052,0.7714285714285715,0.3,1.0,1.8,1.0,1,2,1,1
0.4385964912280701,0.0571428571428571,1.9,1.8571428571428572,2.0,2.0,0,2,1,0
0.6666666666666666,0.4285714285714285,1.0,0.8571428571428571,1.4,2.6,1,2,1,1
0.7017543859649122,0.4571428571428571,0.4,0.2857142857142857,1.0,3.0,1,4,1,1
0.0,0.2,1.0,1.1428571428571428,1.7,2.4,1,3,1,1
0.7719298245614035,0.5714285714285714,1.0,1.0,1.0,1.0,1,2,1,0
0.7368421052631579,0.4571428571428571,1.0,1.0,1.1,1.6,1,1,1,1
0.4736842105263157,0.1142857142857142,0.5,1.0,1.6,2.4,1,3,1,1
0.6666666666666666,0.4,1.0,1.0,2.1,2.4,1,3,1,1
0.4912280701754385,0.1428571428571428,0.8,1.1428571428571428,1.7,3.2,1,3,1,0
0.0,0.0,0.5,0.4285714285714285,2.0,2.8,0,2,0,1
0.0,0.6,1.9,2.142857142857143,2.7,2.0,1,2,1,0
0.0,0.3142857142857143,1.2,1.1428571428571428,2.0,2.2,1,2,1,1
0.7894736842105263,0.3714285714285714,1.1,1.0,1.3,2.4,1,3,0,1
0.7192982456140351,0.4857142857142857,1.2,1.0,1.1,1.6,1,2,1,1
0.0,0.6571428571428571,1.0,1.0,1.6,3.0,1,2,1,1
0.8070175438596491,0.6285714285714286,0.3,0.1428571428571428,1.9,2.6,1,1,1,0
0.7368421052631579,0.5428571428571428,0.3,0.0,2.0,2.6,1,1,1,0
0.7368421052631579,0.5714285714285714,0.9,0.7142857142857143,0.8,1.8,1,1,0,0
0.5789473684210527,0.0285714285714285,0.9,0.0,0.0,4.0,1,2,1,1
0.5789473684210527,0.0,0.9,0.8571428571428571,1.7,2.4,1,2,1,0
0.7192982456140351,0.5428571428571428,0.9,0.8571428571428571,1.6,2.6,1,2,1,0
0.8596491228070176,0.6571428571428571,0.1,0.0,1.1,2.4,1,1,0,1
0.6666666666666666,0.2857142857142857,1.9,2.0,2.1,2.0,1,1,1,0
0.0,0.0,0.5,0.7142857142857143,0.9,1.4,1,1,0,0
0.5789473684210527,0.0,1.0,0.8571428571428571,2.0,3.0,1,3,1,0
0.7192982456140351,0.0,1.2,1.0,1.5,1.8,1,1,1,0
0.0,0.6285714285714286,2.8,2.4285714285714284,2.4,1.8,1,1,1,0
0.7719298245614035,0.4285714285714285,1.9,3.0,2.0,2.0,1,2,1,0
0.0,0.5714285714285714,1.0,1.5714285714285714,2.0,2.2,1,1,0,0
0.0,0.6285714285714286,0.2,1.0,1.7,2.4,1,1,1,0
0.631578947368421,0.0,1.2,1.4285714285714286,1.5,2.6,1,3,1,1
0.0,0.6571428571428571,1.3,1.2857142857142858,2.3,2.0,1,1,1,0
0.8070175438596491,0.6571428571428571,2.5,2.0,2.0,2.0,1,2,1,0
0.0,0.1142857142857142,0.6,1.0,1.6,2.6,1,3,1,1
0.8070175438596491,0.5714285714285714,0.4,0.2857142857142857,2.1,3.2,1,2,1,1
0.4912280701754385,0.0,0.9,0.2857142857142857,2.4,3.2,1,3,0,0
0.9473684210526316,0.8571428571428571,1.0,1.0,2.0,2.6,1,1,1,1
0.0,0.0,1.8,1.4285714285714286,2.0,2.0,1,2,0,0
0.8070175438596491,0.0,1.0,1.8571428571428572,1.0,2.6,1,1,1,0
0.4561403508771929,0.0571428571428571,1.5,1.2857142857142858,1.8,1.6,1,3,1,1
0.6666666666666666,0.5428571428571428,0.0,0.0,1.3,2.4,1,1,1,1
0.4736842105263157,0.0571428571428571,1.2,1.1428571428571428,2.4,3.2,1,3,1,1
